Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
c	c	sofocar, cucaracha	176	100	U+0063
ṣ̌	ṣ̌	ʔoṣ̌ɨ, pãṣ̌o ṣ̌ičpi	278, 277	100	U+1e63 U+030c
^o	o	oeste, obedecer	176, 178, 271, 272	100	U+005e U+006f
kʷ	kʷ	lokʷakʷa, ai kʷaeihi	272, 273	100	U+006b U+02b7
t$	t	puut, 'dakuɨt	258	100	U+0074 U+0024
^š	š	šakʷa, šaa	271, 272, 258, 264, 273	100	U+005e U+0161
s$	s	nosotros, nosotras	176, 178	100	U+0073 U+0024
^u	u	uhat, uma	258, 178, 176, 269	100	U+005e U+0075
ĩ	ĩ	nĩdi, rĩyẽrya	260	100	U+0129
ã$	ã	irmã, nihyã	260, 178	100	U+00e3 U+0024
'k	k	ag'kan, ya'ki	258, 271	100	U+0027 U+006b
^c̷	c̷	c̷a'wan, c̷ac̷a-g	258, 271, 264, 272	100	U+005e U+0063 U+0337
^ṣ̌	ṣ̌	ṣ̌ɨni, ṣ̌ipo	277, 278	100	U+005e U+1e63 U+030c
ʔ$	ʔ	de'reʔ, õrõ'taʔ	271	100	U+0294 U+0024
ũ	ũ	nõntu nõntũy, hnityu hũnutyu hũdityu	260	100	U+0169
^l	l	lobo, levantar	176, 178	100	U+005e U+006c
õ	õ	nõntu nõntũy, nõnõpu	260, 278, 271, 277, 178	100	U+00f5
kw	kʷ	kwa kwa-kwe, kekwa-kwe	275	100	U+006b U+0077
^x	x	xiwata, xamačˀi	269, 264, 178	100	U+005e U+0078
y$	y	-hay, nãy	260, 176	100	U+0079 U+0024
v	v	suave, dar vuelta	176, 178	100	U+0076
n$	n	nu'han, c̷a'wan	176, 258, 178	100	U+006e U+0024
^kʷ	kʷ	kʷa-ti, kʷipa	272, 273, 274	100	U+005e U+006b U+02b7
't	t	tu'tupit, õrõ'taʔ	271, 258	100	U+0027 U+0074
^f	f	furúnculo, fósforo	178, 176	100	U+005e U+0066
aa	aː	iya-hidaa-ya, maaposa	258, 274, 269, 273, 271, 275, 272	100	U+0061 U+0061
z	z	fortaleza, trenzar	176, 178	100	U+007a
'h	h	uči-'hi nuwɨ, kampu'ha	258, 271	100	U+0027 U+0068
õ$	õ	watatõ, nõ	260, 278, 281, 277, 271	100	U+00f5 U+0024
^ɓ	ɓ	ɓa-nahe, -ɓiso	274, 285	100	U+005e U+0253
ɓ	ɓ	loɓaɓa, ɓiwea-ɓiwea-ki-nahe	274, 285	100	U+0253
ɬ	ɬ	sama-ɗin-ɬeu, hasɬa-wanra	285	100	U+026c
'r	r	de'reʔ, ka'reto	271, 277, 283, 279	100	U+0027 U+0072
æ	æ	ræ'ræhæ, sækse-'dʸe	283, 271	100	U+00e6
k$	k	'hak, ku'ičik	258, 271	100	U+006b U+0024
ḳ	ḳ	uraḳi, xaḳukipa-ɲa	269	100	U+1e33
^ɨ	ɨ	ɨpa, ɨ'saham	258, 282, 278, 279, 277, 281	100	U+005e U+0268
^v	v	viga, verde	176, 178	100	U+005e U+0076
ii	iː	kwii-kwii-kwe, diič	258, 275, 281, 274, 269, 278, 271, 279, 273, 282, 277, 272, 276, 264	100	U+0069 U+0069
'y	y	kis'ye, mu'ix'ya	271, 258	100	U+0027 U+0079
f	f	resfriado, defecar	178, 176, 271	100	U+0066
ɨ̃	ɨ̃	kɨ̃ča, kɨ̃ṣ̌a	281, 282, 278, 277	100	U+0268 U+0303
tʸ	tʲ	kœc̷ yi'ri tʸitʸih'ʔin, ka-bawi-tʸa-ti-ya	284, 264, 273, 271	100	U+0074 U+02b8
rr	rr	agarrar, correr	176, 178	100	U+0072 U+0072
ľ	<?>	po-kamľa-ľɨ, seroľɨ mhenokľɨ	264	100	U+013e
œ	œ	'kœti, yœh	271	100	U+0153
^ɗ	ɗ	ɗiči-ye, ɗaki	285, 274	100	U+005e U+0257
lʸ	lʲ	kˀulʸu, ḳulʸa	269	100	U+006c U+02b8
j	j	bajo, hijo	176, 178	100	U+006a
m$	m	ɨ'saham, jovem	258, 178, 286, 271, 285, 278	100	U+006d U+0024
æ$	æ	naræ, βæ	283, 271	99	U+00e6 U+0024
^g	g	gancho, garra	178, 176, 271	97	U+005e U+0067
'p	p	ha'pa, šu'paʔ	258, 277, 271, 283, 280	97	U+0027 U+0070
'n	n	e-'na, xuʔ'no	277, 258, 271, 275, 283, 274, 280	96	U+0027 U+006e
ũ$	ũ	-hũ, sarũ	260, 283, 277	96	U+0169 U+0024
.	<?>	aβɨtii...-mɨ̃, čɨmɨrɨ...čɔ	283, 282, 278, 276, 284	90	U+002e
'm	m	βɨ'mana, i'mɨiši	258, 271, 277, 275, 283, 274, 280	89	U+0027 U+006d
kˀ	kˀ	wakˀa, kˀiyaʔenahkˀe	284, 269	88	U+006b U+02c0
ɗ	ɗ	ɗiɗin-kʷa, eɗosikia	285, 274	85	U+0257
ch	ch	macho, cochichar	176, 178	84	U+0063 U+0068
's	s	hiʔi'sa, ɨ'saham	271, 258, 277, 275, 274	83	U+0027 U+0073
'dʸ	dʲ	sækse-'dʸe, četi-'dʸe	271	80	U+0027 U+0064 U+02b8
nh	nh	linha, caminho	178, 258, 264, 285, 176	79	U+006e U+0068
ď̶	<?>	ehoď̶oi, biď̶o	276	79	U+010f U+0336
^ɲ	ɲ	ɲuɲu, ɲuḳiɲa	283, 277, 269, 271, 275, 176, 274	77	U+005e U+0272
ll	ll	enrollar, cuchillo	176, 285	76	U+006c U+006c
^ʔ	ʔ	-ʔaxa, ʔaru-ti	277, 274, 278, 275, 280	75	U+005e U+0294
h$	h	yœh, 'c̷ih	271, 285, 258, 178	74	U+0068 U+0024
ǰ	ǰ	hai-ǰa, wiǰi	283, 272, 278	72	U+01f0
ɔ	ɔ	'bɔrɔča, čɔčɔkɔ	283	72	U+0254
l$	l	piel, sal	176, 178, 285, 286	71	U+006c U+0024
g$	g	duku-g, awɨ-g	258	67	U+0067 U+0024
tˀ	tˀ	uh-kačapitˀi, istˀa-ɲa	284, 269	67	U+0074 U+02c0
n̉	n̉	ɓen̉-ra, ɓuɓun̉-kʷa	285	65	U+006e U+0309
'a	a	ma'anit, ku'ašat	258, 283, 277, 271, 280, 274, 275	63	U+0027 U+0061
^čˀ	čˀ	čˀamaka, čˀuχ-ɲa	269, 284	63	U+005e U+010d U+02c0
'č	'č	či'čika, hi'čœyiti	271, 258, 277, 283	62	U+0027 U+010d
'b	b	hiyaʔdʸeye'banʔ, aɨnc̷ čiča-'ka 'bac̷at	271, 283, 258, 275	62	U+0027 U+0062
ee	eː	ba-mee-kwe, eʔenee poa-nahe	274, 275, 176, 271, 281, 178, 273, 283, 277, 278	61	U+0065 U+0065
lh	lh	palha, ovelha	178	61	U+006c U+0068
ç	ç	peça, levar na cabeça	178	60	U+00e7
'w	w	e-'wi, c̷a'wan	258, 271, 280, 275, 283, 274	60	U+0027 U+0077
ó	ó	lóbulo, próximo	176, 178	58	U+00f3
í	í	testículo, clavícula	176, 178	57	U+00ed
á	á	rápido, sábado	176, 178, 271	55	U+00e1
ɨ̃$	ɨ̃	nokɨ̃, rɨkɨ̃	281, 278, 282, 277, 283	54	U+0268 U+0303 U+0024
^'h	h	'hak, 'himaituk	271, 258, 280, 283	53	U+005e U+0027 U+0068
č$	č	diič, šiši'atč	271, 258, 278	52	U+010d U+0024
š$	š	βakiš, taniš	258, 271, 278, 281, 277, 283, 282, 279	52	U+0161 U+0024
čˀ	čˀ	ičˀočˀoʔtʸe, o-čˀoyo	284, 269	52	U+010d U+02c0
ɔ$	ɔ	βɔrɔ, dɔ	283	52	U+0254 U+0024
