Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
^õ	õ	õi-kĩ, õrõ'taʔ	282, 271, 283, 281	18	U+005e U+00f5
^ɬ	ɬ	ɬakam̉-ɓa, ɬi-na	285	18	U+005e U+026c
nn	nn	na-ye-wanne, ɗah-ka-wanne	285, 260, 178	17	U+006e U+006e
^'s	s	'sapig, 'sosiki	271, 258, 283, 280	17	U+005e U+0027 U+0073
^ḳˀ	ḳˀ	ḳˀuma, ḳˀara	269	17	U+005e U+1e33 U+02c0
^'r	r	'ra-βiri, 'raɲuka	283, 271	17	U+005e U+0027 U+0072
m̉	m̉	ɬakam̉-ɓa, um̉-ɓe	285	17	U+006d U+0309
d$	d	huésped, red	176	16	U+0064 U+0024
ph	pʰ	'taphe, nˑiphya	264, 271, 258	16	U+0070 U+0068
pʰ	pʰ	sapʰi, čˀipʰuḳu	269	16	U+0070 U+02b0
^ã	ã	ãβi, ãc̷õ	282, 271, 277	16	U+005e U+00e3
ʔw	ʔw	o-woʔwo, wanuʔwe	284, 285	16	U+0294 U+0077
^ll	ll	llorar, llevar sobre la cabeza	176	15	U+005e U+006c U+006c
^hw	hw	hwa, hwatyã	260, 264, 286, 271	15	U+005e U+0068 U+0077
^lʸ	lʲ	lʸika, lʸuχi	269	15	U+005e U+006c U+02b8
ḳʰ	ḳʰ	manḳʰa, manḳʰata	269	15	U+1e33 U+02b0
kk	kk	ačikka ačikka iki, sakka sakka iti	282, 269	15	U+006b U+006b
ɔ̃	ɔ̃	iči'rɔ̃mihi 'tɔ̃rene, mi-'tɔ̃rene	283	15	U+0254 U+0303
^'ɨ	ɨ	'ɨmat, 'ɨmɨat	258, 280	14	U+005e U+0027 U+0268
^kʰ	kʰ	kʰuči, kʰistʰu-ɲa	269	14	U+005e U+006b U+02b0
čʰ	čʰ	alʸčʰi, wičʰu xičʰu	269	14	U+010d U+02b0
^á	á	ácido, árvore	178, 176	13	U+005e U+00e1
ls	ls	balsa, bolso	178, 176, 269	13	U+006c U+0073
^aa	aː	a-aba, a-ato	272, 258, 282, 271, 269	13	U+005e U+0061 U+0061
pˀ	pˀ	lipˀiči, xaypˀu	269	13	U+0070 U+02c0
^pˀ	pˀ	pˀiya, pˀakita	269	13	U+005e U+0070 U+02c0
é$	é	pé, estar em pé	178, 176	12	U+00e9 U+0024
th	tʰ	anɨntain ɨmɨthau, ɨgkɨtha inagk-amu	258, 264, 271	12	U+0074 U+0068
^ĩ	ĩ	ĩnã-yo-, ĩa	282, 278, 277, 281	12	U+005e U+0129
^'š	'š	'šobo, 'šini	271, 280, 258	11	U+005e U+0027 U+0161
^čʰ	čʰ	čʰulʸunkʰiya, čʰuḳu-ɲa	269	11	U+005e U+010d U+02b0
c̷$	c̷	aɨnc̷, 'nayanc̷	258, 271, 260, 278	10	U+0063 U+0337 U+0024
mh	mh	duka inumha hɨgamk-amu, pa'čimh-amu	258, 264	10	U+006d U+0068
^'β	β	'βarie, 'βarike	283	10	U+005e U+0027 U+03b2
ê	ê	lêndea, pênis	178	9	U+00ea
ɨɨ$	ɨː	tɨntɨɨ, rɨɨ	258, 281, 277, 279	9	U+0268 U+0268 U+0024
'x	x	e-'xa, wo'xi-tk	271, 275	9	U+0027 U+0078
'o	o	mo'o-ti, ro'on-ti	277, 271, 280	9	U+0027 U+006f
æ̃	æ̃	kenæ̃ræ, næ̃hæ̃	283	9	U+00e6 U+0303
ms	ms	amsta, kimsiiri	269, 258, 264	8	U+006d U+0073
^kh	kʰ	khin, khatʔ'hẽ	271, 264	8	U+005e U+006b U+0068
'f	f	pa'fera, fi'fit	271	8	U+0027 U+0066
^fw	fw	fwa'ye, fwent'ki	271	8	U+005e U+0066 U+0077
^ii	iː	-iine, iiɲe	283, 271, 281, 258	7	U+005e U+0069 U+0069
ds	dz	'hemdsi, tãdsi	271, 260	7	U+0064 U+0073
^ks	ks	ksɨ-rɨ, ksɨxe	264	7	U+005e U+006b U+0073
^dʸ	dʲ	dʸa-ke, dʸakaɲ'yaʔ	273, 271	7	U+005e U+0064 U+02b8
æ̃$	æ̃	nãræ̃, næ̃hæ̃	283	7	U+00e6 U+0303 U+0024
ü	ü	ungüento, sarigüê	176, 178	6	U+00fc
ô	ô	matrimônio, demônio	178	6	U+00f4
^'u	u	'uhumak, 'uaβe	258, 283	6	U+005e U+0027 U+0075
rw	rw	tˀarwa, alʸu tˀarwa	269	6	U+0072 U+0077
œ$	œ	hœ'bœ, mœ	271	6	U+0153 U+0024
^'f	f	'fin, 'fiča	271	6	U+005e U+0027 U+0066
^ee	eː	eeno, eefe	274, 271	6	U+005e U+0065 U+0065
ææ	æː	'bææha, pai'tææha	283, 271	6	U+00e6 U+00e6
^'ɲ	ɲ	'ɲohno kain'yã, 'ɲatæ	271, 283	6	U+005e U+0027 U+0272
'kʷ	kʷ	ra'kʷɨ-ti, ba'kʷa	277, 272	6	U+0027 U+006b U+02b7
^ú	ú	último, úbere	178, 176	5	U+005e U+00fa
ó$	ó	pó, nó	178	5	U+00f3 U+0024
â	â	crânio, pântano	178	5	U+00e2
ê$	ê	por quê, sarigüê	178	5	U+00ea U+0024
ts	ts	kunatsa, yatsɨnɨ	275, 264, 258, 269	5	U+0074 U+0073
čh	čh	kyačhapererɨmko, hočhita	264	5	U+010d U+0068
x$	x	fen-'c̷ix, miix	271	5	U+0078 U+0024
'a$	a	tu'a, ɗokʷe-i iɓi'a	277, 274, 271	5	U+0027 U+0061 U+0024
^œ	œ	œɲ'ya, œ'hak	271	5	U+005e U+0153
ʔs	ʔs	mædʸe tomʔsi, uh-maʔsuwa	284, 271	5	U+0294 U+0073
'i$	i	o'i, na'i	277, 280, 271	5	U+0027 U+0069 U+0024
'e	e	oe'exanee, sere'enãre	283, 274	5	U+0027 U+0065
'ṣ̌	'ṣ̌	ma'ṣ̌aṣ̌, ʔa'ṣ̌ã-ti	277	5	U+0027 U+1e63 U+030c
^ũ	ũ	ũči, ũčã	277, 283	5	U+005e U+0169
^ɨ̃	ɨ̃	ɨ̃hɨ̃, ɨ̃kæ	282, 283, 281, 278	5	U+005e U+0268 U+0303
ř	ř	'waři, 'wɨřo	280	5	U+0159
^'ṣ̌	'ṣ̌	'ṣ̌owo, 'ṣ̌ɨna	280	5	U+005e U+0027 U+1e63 U+030c
hs	hs	kuhsupuʔna, wahsuʔna	284	5	U+0068 U+0073
ós	ós	fósforo, hóspede	178, 176	4	U+00f3 U+0073
bs	bs	obscuro, absolver	178, 176	4	U+0062 U+0073
ós$	ós	nós, vós	178	4	U+00f3 U+0073 U+0024
á$	á	pá, gambá	178	4	U+00e1 U+0024
'g	g	e'gresya, fer'gič	271, 258	4	U+0027 U+0067
ɨ́	ɨ́	c̷ɨ́hɨg, c̷ɨ́gkɨn	258	4	U+0268 U+0301
rh	rh	'khœrheʔ, špɨrha	264, 271	4	U+0072 U+0068
kh	kʰ	pokhi, wa'nakheʔ	264, 271	4	U+006b U+0068
^ph	pʰ	phewna, phuir'yit	271, 264	4	U+005e U+0070 U+0068
xs	xs	tʰuxsa-tʰuxsa, pʰaxsi	269	4	U+0078 U+0073
χs	χs	pʰaχsi, muχsaaču	269	4	U+03c7 U+0073
ws	ws	xawsa-ɲa, kˀawsi	269	4	U+0077 U+0073
^'ph	pʰ	'pheɲ	271	4	U+005e U+0027 U+0070 U+0068
œ̃	œ̃	ham hœ̃t'kye, mœ̃'keʔ	271	4	U+0153 U+0303
ʔh	ʔh	ɓoʔho, maʔho'dʸe	271, 274	4	U+0294 U+0068
'ĩ$	ĩ	ča'ĩ, ko'ĩ	277, 271	4	U+0027 U+0129 U+0024
'o$	o	na'o, ayi'o	271, 275, 277, 274	4	U+0027 U+006f U+0024
^'ʔ	ʔ	'ʔani, 'ʔoṣ̌ɨ	280, 275	4	U+005e U+0027 U+0294
^ii$	iː	ii	277	4	U+005e U+0069 U+0069 U+0024
^i$	i	i-, -i	283, 279, 281, 278	4	U+005e U+0069 U+0024
'ǰ	'ǰ	ǰu'ǰurue, sa'ǰahae	283	4	U+0027 U+01f0
í$	í	jabalí, ají	176	3	U+00ed U+0024
^o$	o	o, o-	283, 176	3	U+005e U+006f U+0024
^ó	ó	órfão, óleo	178	3	U+005e U+00f3
ês$	ês	vocês, mês	178	3	U+00ea U+0073 U+0024
^ɨɨ	ɨː	ɨɨči-, ɨɨm	279, 258, 278	3	U+005e U+0268 U+0268
^uu	uː	uusarua, uun-	283, 277, 258	3	U+005e U+0075 U+0075
tt	tt	hõttã, nikyetta	260, 269	3	U+0074 U+0074
nˑ	nˑ	yonˑiphyata, hinˑiphya	264	3	U+006e U+02d1
ľh	<?>	hic̷oľhiwata, haľha	264	3	U+013e U+0068
χw	χw	čˀaχwa, liχwi	269	3	U+03c7 U+0077
^'x	x	'xii, 'xœɲœk	271	3	U+005e U+0027 U+0078
^'o	o	'okw, 'oro	271	3	U+005e U+0027 U+006f
'kh	kʰ	uɲ'kha, 'kai ũn'khan	271	3	U+0027 U+006b U+0068
^'dʸ	dʲ	'dʸim'ha, 'dʸabe	271	3	U+005e U+0027 U+0064 U+02b8
'ã$	ã	masku'ã, tɨsku'ã	277	3	U+0027 U+00e3 U+0024
uu$	uː	βuu, ɲuu	277	3	U+0075 U+0075 U+0024
^ɨ̃$	ɨ̃	ɨ̃, ɨ̃-	277, 282, 278	3	U+005e U+0268 U+0303 U+0024
^ɨ$	ɨ	ɨ	283, 279	3	U+005e U+0268 U+0024
ĩĩ	ĩː	tĩĩtɨ̃, rakitĩĩtu	283	3	U+0129 U+0129
^ɔ	ɔ	ɔri, ɔræ	283	3	U+005e U+0254
'æ	æ	čiɲi'æmæ, ræ'æ-ræhæ	283	3	U+0027 U+00e6
m̉$	m̉	pam̉-pam̉, lum̉-lum̉	285	3	U+006d U+0309 U+0024
ú$	ú	tú, bambú	176	2	U+00fa U+0024
^é	é	égua, él	178, 176	2	U+005e U+00e9
és$	és	ciempiés, después	176	2	U+00e9 U+0073 U+0024
és	és	huésped	176	2	U+00e9 U+0073
^D	<?>	Dios, Deus	178, 176	2	U+005e U+0044
^í	í	ídolo	178, 176	2	U+005e U+00ed
ns$	ns	casa de homens, alguns	178	2	U+006e U+0073 U+0024
^e$	e	e, -e-	178, 283	2	U+005e U+0065 U+0024
'ɨ$	ɨ	tɨ'ɨ, hii duwap-'ɨ	280, 258	2	U+0027 U+0268 U+0024
gs	gs	agsɨa, agsɨa anagkɨ	258	2	U+0067 U+0073
^ns	ns	nsũy	260	2	U+005e U+006e U+0073
^d$	d	d	260	2	U+005e U+0064 U+0024
nw	nw	nanwaka, nihyãnway	264, 260	2	U+006e U+0077
^nˑ	nˑ	nˑiphya	264	2	U+005e U+006e U+02d1
