Grapheme	IPA	Note
^fruta_cítrica$	f ɾ u t ɐ + s i t ɾ i k ɐ
^fugir$	f u ʒ i ʁ
^fumar$	f u m a ʁ
^fumaça$	f u m a s ɐ
^funda$	f ũ d ɐ
^fundir$	f ũ dʒ i ʁ
^fundo$	f ũ d u
^fungar$	f ũ g a ʁ
^furúnculo$	f u ɾ ũ k u l u
^fuso$	f u z u
^fuzilar$	f u z i l a ʁ
^fácil$	f a s iu
^fêmea$	f e m i ɐ
^fígado$	f i g a d u
^fósforo$	f ɔ ʃ f u ɾ u
^gabar-se$	g a b a ʁ s i
^gadanha$	g a d ɐ ɲ ɐ
^gado$	g a d u
^gafanhoto$	g a f ɐ ɲ ɔ t u
^gaguejar$	g a g e ʒ a ʁ
^gaivota$	g ai v ɔ t ɐ
^galho$	g a ʎ u
^galinha$	g a l i ɲ ɐ
^galo$	g a l u
^gambá$	g ɐ̃ b a
^gamela$	g ɐ m ɛ l ɐ
^gancho$	g ɐ̃ ʃ u
^ganhar$	g ɐ ɲ a ʁ
^ganso$	g ɐ̃ s u
^garanhão$	g a ɾ ɐ ɲ ɐ̃ũ
^garfo$	g a ʁ f u
^garganta$	g a ʁ g ɐ̃ t ɐ
^garota$	g a ɾ ɔ t ɐ
^garoto$	g a ɾ ɔ t u
^garra$	g a ʁ ɐ
^garça$	g a ʁ s ɐ
^gato$	g a t u
^gelo$	ʒ ɛ l u
^gema$	ʒ ɛ m ɐ
^gemer$	ʒ e m e ʁ
^gengiva$	ʒ ẽ ʒ i v ɐ
^genro$	ʒ ẽ ʁ u
^gerar$	ʒ e ɾ a ʁ
^golfinho$	g ɔu f i ɲ u
^golpear$	g ɔu p i a ʁ
^gordura$	g o ʁ d u ɾ ɐ
^gorro$	g ɔ ʁ u
^gosto$	g ɔ ʃ t u
^gotejar$	g o t e ʒ a ʁ
^governante$	g o v e ʁ n ɐ̃ tʃ i
^governar$	g o v e ʁ n a ʁ
^grama$	g ɾ ɐ m ɐ
^grande$	g ɾ ɐ̃ dʒ i
^gripe$	g ɾ i p i
^gritar$	g ɾ i t a ʁ
^grosso$	g ɾ ɔ s u
^gruta$	g ɾ u t ɐ
^grávida$	g ɾ a v i d ɐ
^grão$	g ɾ ɐ̃ũ
^guarda$	g w a ʁ d ɐ
^guardar$	g w a ʁ d a ʁ
^guelra$	g ɛu ʁ ɐ
^guerra$	g ɛ ʁ ɐ
^guiar$	g j a ʁ
^guinchar$	g ĩ ʃ a ʁ
^guizo$	g i z u
^gêmeos$	ʒ e m i u ʃ
^hidromel$	i d ɾ o m ɛu
^hoje$	ɔ ʒ i
^homem$	ɔ m ẽĩ
^homem_livre$	ɔ m ẽĩ + l i v ɾ i
^hora$	ɔ ɾ ɐ
^horta$	ɔ ʁ t ɐ
^hospedeiro$	o ʃ p e d ei ɾ u
^hábil$	a b iu
^hábito$	a b i t u
^hóspede$	ɔ ʃ p e dʒ i
^idade$	i d a dʒ i
^idéia$	i d ɛi ɐ
^igreja$	i g ɾ e ʒ ɐ
^ilha$	i ʎ ɐ
^imaturo$	i m a t u ɾ u
^imitar$	i m i t a ʁ
^impedir$	ĩ p e dʒ i ʁ
^imposto$	ĩ p o ʃ t u
^incendiar$	ĩ s ẽ dʒ i a ʁ
^inchação$	ĩ ʃ a s ɐ̃ũ
^incêndio_culposo$	ĩ s ẽ d j u + k uː p ɔ z u
^inferno$	ĩ f ɛ ʁ n u
^infortúnio$	ĩ f o ʁ t u n j u
^inhame$	i ɲ ɐ m i
^inimigo$	i n i m i g u
^inocente$	i n o s ẽ tʃ i
^inseto$	ĩ s ɛ t u
^intenção$	ĩ t ẽ s ɐ̃ũ
^intestinos$	ĩ t e ʃ tʃ i n u ʃ
^inveja$	ĩ v e ʒ ɐ
^inverno$	ĩ v ɛ ʁ n u
^ir$	i ʁ
^ir-se_embora$	i ʁ s i + ẽ b ɔ ɾ ɐ
^ira$	i ɾ ɐ
^irmã$	i ʁ m ɐ̃
^irmã_mais_nova$	i ʁ m ɐ̃ + m ai ʒ + n ɔ v ɐ
^irmã_mais_velha$	i ʁ m ɐ̃ + m ai ʃ + v ɛ ʎ ɐ
^irmão$	i ʁ m ɐ̃ũ
^irmão_mais_novo$	i ʁ m ɐ̃ũ + m ai ʒ + n ɔ v u
^irmão_mais_velho$	i ʁ m ɐ̃ũ + m ai ʃ + v ɛ ʎ u
^isca$	i ʃ k ɐ
^içar$	i s a ʁ
^jacaré$	ʒ a k a ɾ ɛ
^jactar-se$	ʒ a k t a ʁ s i
^jamais$	ʒ ɐ m ai ʃ
^janela$	ʒ ɐ n ɛ l ɐ
^jangada$	ʒ ɐ̃ g a d ɐ
^jantar$	ʒ ɐ̃ t a ʁ
^jardim$	ʒ a ʁ dʒ ĩ
^jejuar$	ʒ e ʒ u a ʁ
^joelho$	ʒ o e ʎ u
^jogar$	ʒ o g a ʁ
^jovem$	ʒ ɔ v ẽĩ
^jugo$	ʒ u g u
^juiz$	ʒ u i ʃ
^julgamento$	ʒ uː g ɐ m ẽ t u
^julgar$	ʒ uː g a ʁ
^juntar$	ʒ ũ t a ʁ
^juramento$	ʒ u ɾ ɐ m ẽ t u
^jurar$	ʒ u ɾ a ʁ
^jóia$	ʒ ɔi ɐ
^lado$	l a d u
^ladrão$	l a d ɾ ɐ̃ũ
^lagarto$	l a g a ʁ t u
^lago$	l a g u
^laguna$	l a g u n ɐ
^lama$	l ɐ m ɐ
^lamber$	l ɐ̃ b e ʁ
^lança$	l ɐ̃ s ɐ
^lançar$	l ɐ̃ s a ʁ
^lareira$	l a ɾ ei ɾ ɐ
^largar$	l a ʁ g a ʁ
^largo$	l a ʁ g u
^lavar$	l a v a ʁ
^lavrador$	l a v ɾ a d o ʁ
^leal$	l i au
^legumes$	l e g u m e ʃ
^lei$	l ei
^leite$	l ei tʃ i
^lembrar-se$	l ẽ b ɾ a ʁ s i
^leme$	l ɛ m i
^lenha$	l e ɲ ɐ
^lenço$	l ẽ s u
^ler$	l e ʁ
^leste$	l ɛ ʃ tʃ i
^levantar$	l e v ɐ̃ t a ʁ
^levar$	l e v a ʁ
^levar_debaixo_do_braço$	l e v a ʁ + d e b ai ʃ u + d u + b ɾ a s u
^levar_na_cabeça$	l e v a ʁ + n a + k a b ɛ s ɐ
^levar_na_mão$	l e v a ʁ + n a + m ɐ̃ũ
^levar_no_ombro$	l e v a ʁ + n u + õ b ɾ u
^leve$	l ɛ v i
^leão$	l j ɐ̃ũ
^ligeiro$	l i ʒ ei ɾ u
^limpo$	l ĩ p u
^linguiça$	l ĩ g i s ɐ
^linha$	l i ɲ ɐ
^linha_de_pesca$	l i ɲ ɐ + dʒ i + p ɛ ʃ k ɐ
^linho$	l i ɲ u
^liso$	l i z u
^livro$	l i v ɾ u
^lobo$	l ɔ b u
^lodo$	l ɔ d u
^loja$	l ɔ ʒ ɐ
^lombriga$	l õ b ɾ i g ɐ
^longe$	l õ ʒ i
^louco$	l o k u
^lua$	l u a
^lugar$	l u g a ʁ
^luta$	l u t ɐ
^lutar$	l u t a ʁ
^luva$	l u v ɐ
^luz$	l u ʃ
^lábio$	l a b j u
^lágrima$	l a g ɾ i m ɐ
^lã$	l ɐ̃
^lêndea$	l ẽ dʒ i ɐ
^língua$	l ĩ g w ɐ
^lóbulo$	l ɔ b u l u
^macaco$	m a k a k u
^machado$	m a ʃ a d u
^macho$	m a ʃ u
^macio$	m a s j u
^madeira$	m a d ei ɾ ɐ
^madrasta$	m a d ɾ a ʃ t ɐ
^maduro$	m a d u ɾ u
^magia$	m a ʒ i ɐ
^mais$	m ai ʃ
^mal_cheiroso$	m au + ʃ ei ɾ ɔ z u
^malagueta$	m a l a g ɛ t ɐ
^maluco$	m a l u k u
^mama$	m ɐ m ɐ
^mamilo$	m ɐ m i l u
^mandar$	m ɐ̃ d a ʁ
^mandioca$	m ɐ̃ d j ɔ k ɐ
^maneira$	m ɐ n ei ɾ ɐ
^manhã$	m ɐ ɲ ɐ̃
^manteiga$	m ɐ̃ t ei g ɐ
^manto$	m ɐ̃ t u
^mar$	m a ʁ
^margem$	m a ʁ ʒ ẽĩ
^marido$	m a ɾ i d u
^martelo$	m a ʁ t ɛ l u
^maré$	m a ɾ ɛ
^maré_alta$	m a ɾ ɛ + au t ɐ
^maré_baixa$	m a ɾ ɛ + b ai ʃ ɐ
^maré_vazia$	m a ɾ ɛ + v a z i ɐ
^mascar$	m a ʃ k a ʁ
^masculino$	m a ʃ k u l i n u
^massa$	m a s ɐ
^mastigar$	m a ʃ tʃ i g a ʁ
^mastro$	m a ʃ t ɾ u
^matar$	m a t a ʁ
^matraca$	m a t ɾ a k ɐ
^matrimônio$	m a t ɾ i m o n j u
^mau$	m au
^maxila$	m a k s i l ɐ
^medicamento$	m e dʒ i k ɐ m ẽ t u
^medir$	m e dʒ i ʁ
^medo$	m e d u
^meia$	m ei ɐ
^meio$	m ei u
^meio_dia$	m ei u + dʒ i ɐ
^mel$	m ɛu
^mendigo$	m ẽ dʒ i g u
^menina$	m e n i n ɐ
^menino$	m e n i n u
^mente$	m ẽ tʃ i
^mentir$	m ẽ tʃ i ʁ
^mercado$	m e ʁ k a d u
^mergulhar$	m e ʁ g u ʎ a ʁ
^mesa$	m ɛ z ɐ
^metade$	m e t a dʒ i
^mexer$	m e ʃ e ʁ
^mil$	m iu
^milho$	m i ʎ u
^miolos$	m j ɔ l u ʃ
^misturar$	m i ʃ t u ɾ a ʁ
^miçanga$	m i s ɐ̃ g ɐ
^mocho$	m ɔ ʃ u
^moeda$	m o ɛ d ɐ
^moer$	m o e ʁ
^moinho$	m oi ɲ u
^molar$	m o l a ʁ
^moldar$	m ɔu d a ʁ
^mole$	m ɔ l i
^molhado$	m o ʎ a d u
^montanha$	m õ t ɐ ɲ ɐ
^montar$	m õ t a ʁ
^morar$	m o ɾ a ʁ
^morcego$	m o ʁ s ɛ g u
^morder$	m o ʁ d e ʁ
^morrer$	m o ʁ e ʁ
^morro$	m ɔ ʁ u
^morteiro$	m o ʁ t ei ɾ u
^morto$	m ɔ ʁ t u
^mosca$	m ɔ ʃ k ɐ
^mosquito$	m o s k i t u
^mostrar$	m o ʃ t ɾ a ʁ
^mover$	m o v e ʁ
^moça$	m ɔ s ɐ
^muco$	m u k u
^mudar$	m u d a ʁ
^mudo$	m u d u
^muito$	m ũ j t u
^muitos$	m ũ j t u ʃ
^mula$	m u l ɐ
^mulher$	m u ʎ e ʁ
^mulo$	m u l u
^mulso$	m uː s u
^multa$	m uː t ɐ
^multidão$	m uː tʃ i d ɐ̃ũ
^mundo$	m ũ d u	Brazilian Portuguese pronunciation
^murmurar$	m u ʁ m u ɾ a ʁ
^má_sorte$	m a + s ɔ ʁ tʃ i
^mãe$	m ɐ̃ĩ
^mão$	m ɐ̃ũ
^mão_de_pilão$	m ɐ̃ũ + dʒ i + p i l ɐ̃ũ
^médico$	m ɛ dʒ i k u
^mês$	m e ʃ
^nada$	n a d ɐ
^nadar$	n a d a ʁ
^narina$	n a ɾ i n ɐ
^nariz$	n a ɾ i ʃ
^nascente$	n a ʃ s ẽ tʃ i
^nascer$	n a ʃ s e ʁ
^nassa$	n a s ɐ
^navalha_de_barba$	n a v a ʎ ɐ + dʒ i + b a ʁ b ɐ
^navegar$	n a v e g a ʁ
^navio$	n a v j u
^necessidade$	n e s e s i d a dʒ i
^negar$	n e g a ʁ
^negativo$	n e g a tʃ i v u
^negociante$	n e g o s i ɐ̃ tʃ i
^negro$	n ɛ g ɾ u
^nenê$	n e n e
^neta$	n ɛ t ɐ
^neto$	n ɛ t u
^neve$	n ɛ v i
^nevoeiro$	n e v o ei ɾ u
^ninho$	n i ɲ u
^nobre$	n ɔ b ɾ i
^noite$	n oi tʃ i
^nome$	n ɔ m i
^nomear$	n o m i a ʁ
^nora$	n ɔ ɾ ɐ
^norte$	n ɔ ʁ tʃ i
^nove$	n ɔ v i
^novo$	n ɔ v u
^noz$	n ɔ ʃ
^nu$	n u
^nuca$	n u k ɐ
^nunca$	n ũ k ɐ
^nuvem$	n u v ẽĩ
^nádegas$	n a d e g a ʃ
^não$	n ɐ̃ũ
^não_acertar$	n ɐ̃ũ + a s e ʁ t a ʁ
^névoa$	n ɛ v u ɐ
^nó$	n ɔ
^nós$	n ɔ ʃ
^obedecer$	o b e d e s e ʁ
^obscuro$	o b ʃ k u ɾ u
^obter$	o b t e ʁ
^oceano$	o s i ɐ n u
^odiar$	o dʒ i a ʁ
^oeste$	o e ʃ tʃ i
^oferenda$	o f e ɾ ẽ d ɐ
^oito$	oi t u
^oleiro$	o l ei ɾ u
^olhar_para$	o ʎ a ʁ + p a ɾ ɐ
^olho$	ɔ ʎ u
^ombreira$	õ b ɾ ei ɾ ɐ
^ombreira_da_porta$	õ b ɾ ei ɾ ɐ + d ɐ + p ɔ ʁ t ɐ
^ombro$	õ b ɾ u
^omoplata$	o m o p l a t ɐ
^onda$	õ d ɐ
^onde$	õ dʒ i
^ontem$	õ t ẽĩ
^onze$	õ z i
^orar$	o ɾ a ʁ
^ordenhar$	o ʁ d e ɲ a ʁ
^orelha$	o ɾ e ʎ ɐ
^orgulhoso$	o ʁ g u ʎ ɔ z u
^orvalho$	o ʁ v a ʎ u
^osso$	ɔ s u
^ou$	ou
^ouro$	o ɾ u
^ousar$	o z a ʁ
^outono$	o t ɔ n u
^outra_vez$	o t ɾ ɐ + v e ʃ
^ouvir$	o v i ʁ
^ovelha$	o v e ʎ ɐ
^ovo$	ɔ v u
^padrasto$	p a d ɾ a ʃ t u
^pagar$	p a g a ʁ
^pai$	p ai
^pais$	p ai ʃ
^palavra$	p a l a v ɾ ɐ
^palha$	p a ʎ ɐ
^palma_de_mão$	p au m ɐ + dʒ i + m ɐ̃ũ
^palmeira$	p au m ei ɾ ɐ
^palmo$	p au m u
^panela$	p ɐ n ɛ l ɐ
^pano$	p ɐ n u
^pantanal$	p ɐ̃ t ɐ n au
^papagaio$	p a p a g ai u
^papeira$	p a p ei ɾ ɐ
^papel$	p a p ɛu
^papo$	p a p u
^par$	p a ʁ
^parar$	p a ɾ a ʁ
^parecer$	p a ɾ e s e ʁ
^parecido$	p a ɾ e s i d u
^parede$	p a ɾ ɛ dʒ i
^parentes$	p a ɾ ẽ t e ʃ
^parte$	p a ʁ tʃ i
^partido$	p a ʁ tʃ i d u
^partir$	p a ʁ tʃ i ʁ
^pastagem$	p a ʃ t a ʒ ẽĩ
^pasto$	p a ʃ t u
^pastor$	p a ʃ t o ʁ
^pato$	p a t u
^patrão$	p a t ɾ ɐ̃ũ
^paz$	p a ʃ
^país$	p a i ʃ
^pedaço$	p e d a s u
^pedir$	p e dʒ i ʁ
^pedir_emprestado$	p e dʒ i ʁ + ẽ p ɾ e ʃ t a d u
^pedra$	p ɛ d ɾ ɐ
^pedreiro$	p e d ɾ ei ɾ u
^pegada$	p e g a d ɐ
^pegar_em_armadilha$	p e g a ʁ + ẽĩ + a ʁ m a dʒ i ʎ ɐ
^peido$	p ei d u
^peito$	p ei t u
^peixe$	p ei ʃ i
^pele$	p ɛ l i
^pena$	p ɛ n ɐ
^pendurar$	p ẽ d u ɾ a ʁ
^peneira$	p e n ei ɾ ɐ
^penhasco$	p e ɲ a ʃ k u
^pensar$	p ẽ s a ʁ
^pente$	p ẽ tʃ i
^pequeno$	p e k e n u
^pequeno-almoço$	p e k e n o au m ɔ s u
^perante$	p e ɾ ɐ̃ tʃ i
^perder$	p e ʁ d e ʁ
^perdoar$	p e ʁ d o a ʁ
^perfurar$	p e ʁ f u ɾ a ʁ
^perguntar$	p e ʁ g ũ t a ʁ
^perigo$	p e ɾ i g u
^perjúrio$	p e ʁ ʒ u ɾ j u
^permitir$	p e ʁ m i tʃ i ʁ
^perna$	p ɛ ʁ n ɐ
^perseguir$	p e ʁ s e g i ʁ
^perto$	p ɛ ʁ t u
^pesado$	p e z a d u
^pesar$	p e z a ʁ
^pescador$	p e ʃ k a d o ʁ
^pescoço$	p e ʃ k ɔ s u
^pessoa$	p e s o ɐ
^pestana$	p e ʃ t ɐ n ɐ
^pestanejar$	p e ʃ t ɐ n e ʒ a ʁ
^peça$	p ɛ s ɐ
^peúga$	p e u g ɐ
^pilhagem$	p i ʎ a ʒ ẽĩ
^pimenta$	p i m ẽ t ɐ
^pinheiro$	p i ɲ ei ɾ u
^pintar$	p ĩ t a ʁ
^pinça$	p ĩ s ɐ
^piolho$	p j ɔ ʎ u
^pires$	p i ɾ e ʃ
^pirilampo$	p i ɾ i l ɐ̃ p u
^pistola$	p i ʃ t ɔ l ɐ
^plano$	p l ɐ n u
^planta$	p l ɐ̃ t ɐ
^plantar$	p l ɐ̃ t a ʁ
^planície$	p l ɐ n i s i i
^pobre$	p ɔ b ɾ i
^poderoso$	p o d e ɾ ɔ z u
^podre$	p ɔ d ɾ i
^poeta$	p o ɛ t ɐ
^polegar$	p o l e g a ʁ
^pomba$	p õ b ɐ
^poncho$	p õ ʃ u
^ponta$	p õ t ɐ
^ponte$	p õ tʃ i
^por_muito_tempo$	p u ʁ + m ũ j t u + t ẽ p u
^por_quê$	p u ʁ + k e
^porca$	p ɔ ʁ k ɐ
^porco$	p ɔ ʁ k u
^porque$	p u ʁ k i
^porrete$	p o ʁ ɛ tʃ i
^porta$	p ɔ ʁ t ɐ
^portão$	p o ʁ t ɐ̃ũ
^possuir$	p o s ui ʁ
^poste$	p ɔ ʃ tʃ i
^potro$	p ɔ t ɾ u
^pouco$	p o k u
^poucos$	p o k u ʃ
^povo$	p ɔ v u
^poço$	p ɔ s u
^praia$	p ɾ ai ɐ
^praiamar$	p ɾ ai ɐ m a ʁ
^prata$	p ɾ a t ɐ
^prateleira$	p ɾ a t e l ei ɾ ɐ
^prato$	p ɾ a t u
^preamar$	p ɾ i ɐ m a ʁ
^precipício$	p ɾ e s i p i s j u
^precisar$	p ɾ e s i z a ʁ
^pregar$	p ɾ e g a ʁ
^prego$	p ɾ ɛ g u
^preguiçoso$	p ɾ e g j s ɔ z u
^prenhe$	p ɾ e ɲ i
^preocupação$	p ɾ i o k u p a s ɐ̃ũ
^preservar$	p ɾ e z e ʁ v a ʁ
^presságio$	p ɾ e s a ʒ j u
^preto$	p ɾ ɛ t u
^preço$	p ɾ ɛ s u
^prima$	p ɾ i m ɐ
^primavera$	p ɾ i m a v e ɾ ɐ
^primeiro$	p ɾ i m ei ɾ u
^primo$	p ɾ i m u
^prisioneiro$	p ɾ i z j o n ei ɾ u
^prisão$	p ɾ i z ɐ̃ũ
^procurar$	p ɾ o k u ɾ a ʁ
^professor$	p ɾ o f e s ɔ ʁ
^proibir$	p ɾ oi b i ʁ
^prole$	p ɾ ɔ l i
^prometer$	p ɾ o m e t e ʁ
^promontório$	p ɾ o m õ t ɔ ɾ j u
^pronto$	p ɾ õ t u
^prostituta$	p ɾ o ʃ tʃ i t u t ɐ
^provar$	p ɾ o v a ʁ
^próximo$	p ɾ ɔ s i m u
^pulga$	p uː g ɐ
^pulmão$	p uː m ɐ̃ũ
^pulseira$	p uː s ei ɾ ɐ
^pulso$	p uː s u
^punição$	p u n i s ɐ̃ũ
^pus$	p u ʃ
^puxar$	p u ʃ a ʁ
^pá$	p a
^pálpebra$	p au p e b ɾ ɐ
^pássaro$	p a s a ɾ u
^pátio$	p a t j u
^pátria$	p a t ɾ i ɐ
^pântano$	p ɐ̃ t ɐ n u
^pão$	p ɐ̃ũ
^pé$	p ɛ
^pêlo$	p e l u
^pêlo_púbico$	p e l u + p u b i k u
^pênis$	p e n i ʃ
^pó$	p ɔ
^pôr$	p o ʁ
^pôrto$	p o ʁ t u
^quadrado$	k w a d ɾ a d u
^quadril$	k w a d ɾ iu
^qual$	k w au
^quando$	k w ɐ̃ d u
^quanto$	k w ɐ̃ t u
^quantos$	k w ɐ̃ t u ʃ
^quarta-feira$	k w a ʁ t a f ei ɾ ɐ
^quarto$	k w a ʁ t u
^quatro$	k w a t ɾ u
^que$	k i
^quebrado$	k e b ɾ a d u
^quebrar$	k e b ɾ a ʁ
^queijo$	k ei ʒ u
^queimar$	k ei m a ʁ
^queixo$	k ei ʃ u
^queixoso$	k ei ʃ ɔ z u
^quem$	k ẽĩ
^quente$	k ẽ tʃ i
^quieto$	k i ɛ t u
^quinta-feira$	k ĩ t a f ei ɾ ɐ
^quintal$	k ĩ t au
^quinze$	k ĩ z i
^rabo$	ʁ a b u
^raia$	ʁ ai ɐ
^rainha$	ʁ ai ɲ ɐ
^raio$	ʁ ai u
^raiva$	ʁ ai v ɐ
^raiz$	ʁ ai ʃ
^rama_bifurcada$	ʁ ɐ m ɐ + b i f u ʁ k a d ɐ
^ramo$	ʁ ɐ m u
^rapaz$	ʁ a p a ʃ
^raposa$	ʁ a p ɔ z ɐ
^rasgar$	ʁ a ʒ g a ʁ
^raso$	ʁ a z u
^raspar$	ʁ a ʃ p a ʁ
^rastejar$	ʁ a ʃ t e ʒ a ʁ
^ratinho$	ʁ a tʃ i ɲ u
^rato$	ʁ a t u
^raízes_venenosas$	ʁ a i z e ʃ + v e n e n ɔ z a ʃ
^recife$	ʁ e s i f i
^recusar$	ʁ e k u z a ʁ
^rede$	ʁ ɛ dʒ i
^redemoinho$	ʁ e d e m oi ɲ u
^redondo$	ʁ e d õ d u
^refeição$	ʁ e f ei s ɐ̃ũ
^regressar$	ʁ e g ɾ e s a ʁ
^rei$	ʁ ei
^relatar$	ʁ e l a t a ʁ
^religião$	ʁ e l i ʒ i ɐ̃ũ
^relva$	ʁ ɛu v ɐ
^relâmpago$	ʁ e l ɐ̃ p a g u
^relógio$	ʁ e l ɔ ʒ j u
^remar$	ʁ e m a ʁ
^remo$	ʁ ɛ m u
^remoinho$	ʁ e m oi ɲ u
^remédio$	ʁ e m ɛ d j u
^render-se$	ʁ ẽ d ɛ ʁ s i
^repreender$	ʁ e p ɾ e ẽ d e ʁ
^resfriado$	ʁ e ʃ f ɾ i a d u
^residir$	ʁ e z i dʒ i ʁ
^respirar$	ʁ e ʃ p i ɾ a ʁ
^respiração$	ʁ e ʃ p i ɾ a s ɐ̃ũ
^responder$	ʁ e ʃ p õ d e ʁ
^ressonar$	ʁ e s o n a ʁ
^restituir$	ʁ e ʃ tʃ i t ui ʁ
^restos$	ʁ ɛ ʃ t u ʃ
^resvalar$	ʁ e ʒ v a l a ʁ
^retirar-se$	ʁ e tʃ i ɾ a ʁ s i
^reto$	ʁ ɛ t u
^reunir$	ʁ eu n i ʁ
^rezar$	ʁ e z a ʁ
^riacho$	ʁ i a ʃ u
^rico$	ʁ i k u
^rim$	ʁ ĩ
^rio$	ʁ j ɔ
^rir$	ʁ i ʁ
^rocha$	ʁ ɔ ʃ ɐ
^roda$	ʁ ɔ d ɐ
^rolar$	ʁ o l a ʁ
^rombudo$	ʁ õ b u d u
^romper$	ʁ õ p e ʁ
^roncar$	ʁ õ k a ʁ
^rosto$	ʁ ɔ ʃ t u
^roubar$	ʁ o b a ʁ
^roupa$	ʁ o p ɐ
^ruidoso$	ʁ ui d ɔ z u
^ruído$	ʁ u i d u
^rápido$	ʁ a p i d u
^rã$	ʁ ɐ̃
^réu$	ʁ ɛu
^saber$	s a b e ʁ
^sabor$	s a b ɔ ʁ
^sabão$	s a b ɐ̃ũ
^sacerdote$	s a s e ʁ d ɔ tʃ i
^saco$	s a k u
^sacrifício$	s a k ɾ i f i s j u
^sagrado$	s a g ɾ a d u
^saia$	s ai ɐ
^saia_de_palha$	s ai ɐ + dʒ i + p a ʎ ɐ
^sair$	s a i ʁ
^sal$	s au
^salgado$	s au g a d u
^salobre$	s a l ɔ b ɾ i
^saltar$	s au t a ʁ
^salvar$	s au v a ʁ
^salário$	s a l a ɾ j u
^sangue$	s ɐ̃ g i
^santo$	s ɐ̃ t u
^sapateiro$	s a p a t ei ɾ u
^sapato$	s a p a t u
^sapé$	s a p ɛ
^sarar$	s a ɾ a ʁ
^sarigüê$	s a ɾ i g e
^savannah$	s a v ɐ̃ n a
^saúde$	s a u dʒ i
^se$	s i
^seco$	s e k u
^seda$	s ɛ d ɐ
^sede$	s ɛ dʒ i
^segar$	s e g a ʁ
^segredo$	s e g ɾ ɛ d u
^seguir$	s e g i ʁ
^segunda-feira$	s e g ũ d a f ei ɾ ɐ
^segundo$	s e g ũ d u
^segurar$	s e g u ɾ a ʁ
^seguro$	s e g u ɾ u
^seio$	s ei u
^seis$	s ei ʃ
^seiva$	s ei v ɐ
^semana$	s e m ɐ n ɐ
^semear$	s e m i a ʁ
^semente$	s e m ẽ tʃ i
^sempre$	s ẽ p ɾ i
^senhor$	s e ɲ ɔ ʁ
^sentar-se$	s ẽ t a ʁ s i
^sentenciar$	s ẽ t ẽ s i a ʁ
^sentinela$	s ẽ tʃ i n ɛ l ɐ
^sentir$	s ẽ tʃ i ʁ
^separar$	s e p a ɾ a ʁ
^sepultura$	s e p uː t u ɾ ɐ
^ser_humano$	s e ʁ + u m ɐ n u
^serra$	s ɛ ʁ ɐ
^servo$	s ɛ ʁ v u
^sete$	s ɛ tʃ i
^sexta-feira$	s e ʃ t a f ei ɾ ɐ
^sim$	s ĩ
^soalho$	s o a ʎ u
^sobrancelha$	s o b ɾ ɐ̃ s e ʎ ɐ
^sobrinha$	s o b ɾ i ɲ ɐ
^sobrinho$	s o b ɾ i ɲ u
^sogra$	s ɔ g ɾ ɐ
^sogro$	s ɔ g ɾ u
^sol$	s ɔu
^soldado$	s ɔu d a d u
^solo$	s ɔ l u
^soltar$	s ɔu t a ʁ
^soluço$	s o l u s u
^sombra$	s õ b ɾ ɐ
^somente$	s o m ẽ tʃ i
^sonhar$	s o ɲ a ʁ
^sopa$	s o p ɐ
^soprar$	s o p ɾ a ʁ
^sorrir$	s o ʁ i ʁ
^sovaco$	s o v a k u
^sovela$	s o v ɛ l ɐ
^suar$	s u a ʁ
^subir$	s u b i ʁ
^suficiente$	s u f i s i ẽ tʃ i
^sufocar$	s u f o k a ʁ
^sugar$	s u g a ʁ
^sujo$	s u ʒ u
^sul$	s uː
^sulco$	s uː k u
^suportar$	s u p o ʁ t a ʁ
^surdo$	s u ʁ d u
^surpreso$	s u ʁ p ɾ ɛ z u
^suspeitar$	s u ʃ p ei t a ʁ
^susto$	s u ʃ t u
^sábado$	s a b a d u
^sábio$	s a b j u
^são$	s ɐ̃ũ
^só$	s ɔ
^sôbre$	s o b ɾ i
^súdito$	s u dʒ i t u
^tabaco$	t a b a k u
^tambor$	t ɐ̃ b ɔ ʁ
^tapete$	t a p ɛ tʃ i
^tarde$	t a ʁ dʒ i
^tardinha$	t a ʁ dʒ i ɲ ɐ
^tartaruga$	t a ʁ t a ɾ u g ɐ
^tatuagem$	t a t u a ʒ ẽĩ
^taxa$	t a ʃ ɐ
^tear$	tʃ i a ʁ
^tecer$	t e s e ʁ
^tecido$	t e s i d u
^teia_de_aranha$	t ei ɐ + dʒ i + a ɾ ɐ ɲ ɐ
^telhado$	t e ʎ a d u
^tempestade$	t ẽ p e ʃ t a dʒ i
^tempestuoso$	t ẽ p e ʃ t u ɔ z u
^templo$	t ẽ p l u
^tempo$	t ẽ p u
^tenda$	t ẽ d ɐ
^tentar$	t ẽ t a ʁ
^ter$	t e ʁ
^ter_pena$	t e ʁ + p ɛ n ɐ
^ter_relações_sexuais$	t e ʁ + ʁ e l a s õĩ ʃ + s e k s u ai ʃ
^terceiro$	t e ʁ s ei ɾ u
^terra_firme$	t ɛ ʁ ɐ + f i ʁ m i
^terremoto$	t e ʁ e m ɔ t u
^terreno$	t e ʁ e n u
^terça-feira$	t e ʁ s a f ei ɾ ɐ
^tesoura$	t e z o ɾ ɐ
^testa$	t ɛ ʃ t ɐ
^testemunha$	t e ʃ t e m u ɲ ɐ
^testículo$	t e ʃ tʃ i k u l u
^teta$	t ɛ t ɐ
^teto$	t ɛ t u
