Grapheme	IPA	Note
^beber$	b e b e ʁ
^bebida$	b e b i d ɐ
^bebida_fermentada$	b e b i d ɐ + f e ʁ m ẽ t a d ɐ
^bebê$	b e b e
^beijar$	b ei ʒ a ʁ
^beira$	b ei ɾ ɐ
^beliscar$	b e l i ʃ k a ʁ
^belo$	b ɛ l u
^bem$	b ẽĩ
^bengala$	b ẽ g a l ɐ
^bezerro$	b e z ɛ ʁ u
^bicho$	b i ʃ u
^bico$	b i k u
^bigorna$	b i g ɔ ʁ n ɐ
^boa_sorte$	b o ɐ + s ɔ ʁ tʃ i
^boca$	b ɔ k ɐ
^bocejar$	b o s e ʒ a ʁ
^bochecha$	b o ʃ e ʃ ɐ
^bode$	b ɔ dʒ i
^boi$	b oi
^boina$	b oi n ɐ
^bola$	b o l ɐ
^bolha$	b ɔ ʎ ɐ
^bolota$	b o l ɔ t ɐ
^bolso$	b ɔu s u
^bom$	b õ
^bonito$	b o n i t u
^borboleta$	b o ʁ b o l ɛ t ɐ
^borda$	b ɔ ʁ d ɐ
^bosque$	b ɔ s k i
^bota$	b ɔ t ɐ
^bote$	b ɔ tʃ i
^botão$	b o t ɐ̃ũ
^bracelete$	b ɾ a s e l ɛ tʃ i
^branco$	b ɾ ɐ̃ k u
^brasas$	b ɾ a z a ʃ
^bravo$	b ɾ a v u
^braça$	b ɾ a s ɐ
^braço$	b ɾ a s u
^brilhante$	b ɾ i ʎ ɐ̃ tʃ i
^brilhar$	b ɾ i ʎ a ʁ
^brincar$	b ɾ ĩ k a ʁ
^brinco$	b ɾ ĩ k u
^bronze$	b ɾ õ z i
^bruxa$	b ɾ u ʃ ɐ
^bruxo$	b ɾ u ʃ u
^brânquia$	b ɾ ɐ̃ k i ɐ
^buraco$	b u ɾ a k u
^burro$	b u ʁ u
^buscar$	b u ʃ k a ʁ
^bétula$	b ɛ t u l ɐ
^cabana$	k a b ɐ n ɐ
^cabaça$	k a b a s ɐ
^cabelo$	k a b ɛ l u
^cabeça$	k a b ɛ s ɐ
^cabo$	k a b u
^cabra$	k a b ɾ ɐ
^cabrito$	k a b ɾ i t u
^cacete$	k a s ɛ tʃ i
^cachimbo$	k a ʃ ĩ b u
^cacho$	k a ʃ u
^cachoeira$	k a ʃ o ei ɾ ɐ
^cachorro$	k a ʃ ɔ ʁ u
^cacique$	k a s i k i
^cada$	k a d ɐ
^cadeado$	k a dʒ i a d u
^cadeia$	k a d ei ɐ
^cadeira$	k a d ei ɾ ɐ
^cadáver$	k a d a v e ʁ
^café_da_manhã$	k a f ɛ + d ɐ + m ɐ ɲ ɐ̃
^cair$	k a i ʁ
^calcanhar$	k au k ɐ ɲ a ʁ
^caldo$	k au d u
^calhau$	k a ʎ au
^calma$	k au m ɐ
^calmaria$	k au m a ɾ i ɐ
^calvo$	k au v u
^calças$	k au s a ʃ
^cama$	k ɐ m ɐ
^camelo$	k ɐ m ɛ l u
^caminhar$	k ɐ m i ɲ a ʁ
^caminho$	k ɐ m i ɲ u
^camisa$	k ɐ m i z ɐ
^campo$	k ɐ̃ p u
^camundongo$	k ɐ m ũ d õ g u
^cana_de_açúcar$	k ɐ n ɐ + dʒ i + a s u k a ʁ
^canal$	k ɐ n au
^candeeiro$	k ɐ̃ d e ei ɾ u
^caneta$	k ɐ n ɛ t ɐ
^canga$	k ɐ̃ g ɐ
^canhão$	k ɐ ɲ ɐ̃ũ
^canoa$	k ɐ n o ɐ
^cansado$	k ɐ̃ s a d u
^cantar$	k ɐ̃ t a ʁ
^canto$	k ɐ̃ t u
^capa$	k a p ɐ
^capacete$	k a p a s ɛ tʃ i
^capin$	k a p ĩ
^capitular$	k a p i t u l a ʁ
^captar$	k a p t a ʁ
^caracol$	k a ɾ a k ɔu
^carne$	k a ʁ n i
^carneiro$	k a ʁ n ei ɾ u
^caro$	k a ɾ u
^carpete$	k a ʁ p ɛ tʃ i
^carpinteiro$	k a ʁ p ĩ t ei ɾ u
^carroça$	k a ʁ ɔ s ɐ
^carruagem$	k a ʁ u a ʒ ẽĩ
^carvalho$	k a ʁ v a ʎ u
^carvão$	k a ʁ v ɐ̃ũ
^cará$	k a ɾ a
^casa$	k a z ɐ
^casa_de_homens$	k a z ɐ + dʒ i + ɔ m ẽ ʃ
^casa_de_jardim$	k a z ɐ + dʒ i + ʒ a ʁ dʒ ĩ
^casa_de_reunião$	k a z ɐ + dʒ i + ʁ eu n i ɐ̃ũ
^casaco$	k a z a k u
^casada$	k a z a d ɐ
^casado$	k a z a d u
^casamento$	k a z ɐ m ẽ t u
^casar$	k a z a ʁ
^casca$	k a ʃ k ɐ
^cascata$	k a ʃ k a t ɐ
^caspa$	k a ʃ p ɐ
^castigo$	k a ʃ tʃ i g u
^cativo$	k a tʃ i v u
^cauda$	k au d ɐ
^causa$	k au z ɐ
^cavalo$	k a v a l u
^cavar$	k a v a ʁ
^caveira$	k a v ei ɾ ɐ
^caverna$	k a v ɛ ʁ n ɐ
^caçar$	k a s a ʁ
^cedo$	s ɛ d u
^cego$	s ɛ g u
^ceia$	s ei ɐ
^ceifar$	s ei f a ʁ
^cem$	s ẽĩ
^centeio$	s ẽ t ei u
^cento$	s ẽ t u
^centopeia$	s ẽ t o p ei ɐ
^centro$	s ẽ t ɾ u
^cera$	s ɛ ɾ ɐ
^cerca$	s ɛ ʁ k ɐ
^certo$	s ɛ ʁ t u
^cerume$	s e ɾ u m i
^cerveja$	s e ʁ v e ʒ ɐ
^cessar$	s e s a ʁ
^cesta$	s ɛ ʃ t ɐ
^cesto$	s ɛ ʃ t u
^cevada$	s e v a d ɐ
^chaga$	ʃ a g ɐ
^chaleira$	ʃ a l ei ɾ ɐ
^chama$	ʃ ɐ m ɐ
^chamar$	ʃ ɐ m a ʁ
^chamar-se$	ʃ ɐ m a ʁ s i
^chaminé$	ʃ ɐ m i n ɛ
^chapinhar$	ʃ a p i ɲ a ʁ
^chapéu$	ʃ a p ɛu
^chato$	ʃ a t u
^chave$	ʃ a v i
^chefe$	ʃ ɛ f i
^chegar$	ʃ e g a ʁ
^cheio$	ʃ ei u
^cheirar$	ʃ ei ɾ a ʁ
^cheiroso$	ʃ ei ɾ ɔ z u
^chifre$	ʃ i f ɾ i
^chorar$	ʃ o ɾ a ʁ
^chouriço$	ʃ o ɾ i s u
^chumbo$	ʃ ũ b u
^chupar$	ʃ u p a ʁ
^chutar$	ʃ u t a ʁ
^chuva$	ʃ u v ɐ
^chávena$	ʃ a v e n ɐ
^chão$	ʃ ɐ̃ũ
^cicatriz$	s i k a t ɾ i ʃ
^cidade$	s i d a dʒ i
^cidadão$	s i d a d ɐ̃ũ
^cilada$	s i l a d ɐ
^cinco$	s ĩ k u
^cinto$	s ĩ t u
^cintura$	s ĩ t u ɾ ɐ
^cinzas$	s ĩ z a ʃ
^cinzel$	s ĩ z ɛu
^ciúme$	s i u m i
^claro$	k l a ɾ u
^clavícula$	k l a v i k u l ɐ
^clã$	k l ɐ̃
^coador$	k o a d o ʁ
^coar$	k o a ʁ
^cobertor$	k o b e ʁ t o ʁ
^cobiçoso$	k o b i s ɔ z u
^cobra$	k ɔ b ɾ ɐ
^cobre$	k ɔ b ɾ i
^cobrir$	k o b ɾ i ʁ
^coceira$	k o s ei ɾ ɐ
^cocheira$	k o ʃ ei ɾ ɐ
^cochichar$	k o ʃ i ʃ a ʁ
^coco$	k ɔ k u
^coelho$	k o e ʎ u
^cogumelo$	k o g u m ɛ l u
^coisa$	k oi z ɐ
^cola$	k ɔ l ɐ
^colar$	k o l a ʁ
^colarinho$	k o l a ɾ i ɲ u
^colecionar$	k o l e s j o n a ʁ
^colheita$	k o ʎ ei t ɐ
^colher$	k o ʎ e ʁ
^colmeia$	k ɔu m ei ɐ
^colmo$	k ɔu m u
^comer$	k o m e ʁ
^começar$	k o m e s a ʁ
^comichão$	k o m i ʃ ɐ̃ũ
^como$	k ɔ m u
^compaixão$	k õ p ai ʃ ɐ̃ũ
^companheiro$	k õ p ɐ ɲ ei ɾ u
^compartilhar$	k õ p a ʁ tʃ i ʎ a ʁ
^completar$	k õ p l e t a ʁ
^comprar$	k õ p ɾ a ʁ
^compreender$	k õ p ɾ e ẽ d e ʁ
^comprido$	k õ p ɾ i d u
^comprimir$	k õ p ɾ i m i ʁ
^conceber$	k õ s e b e ʁ
^concha$	k õ ʃ ɐ
^condenar$	k õ d e n a ʁ
^conduzir$	k õ d u z i ʁ
^confessar$	k õ f e s a ʁ
^conjeturar$	k õ ʒ e t u ɾ a ʁ
^conseguir$	k õ s e g i ʁ
^conservar$	k õ s e ʁ v a ʁ
^conspiração$	k õ ʃ p i ɾ a s ɐ̃ũ
^construir$	k õ ʃ t ɾ ui ʁ
^conta$	k õ t ɐ
^contar$	k õ t a ʁ
^contas$	k õ t a ʃ
^contente$	k õ t ẽ tʃ i
^convidado$	k õ v i d a d u
^copo$	k ɔ p u
^cor$	k ɔ ʁ
^corajoso$	k o ɾ a ʒ ɔ z u
^corante$	k o ɾ ɐ̃ tʃ i
^coração$	k o ɾ a s ɐ̃ũ
^corda$	k ɔ ʁ d ɐ
^cordeiro$	k o ʁ d ei ɾ u
^cordel$	k o ʁ d ɛu
^corneta$	k o ʁ n ɛ t ɐ
^corno$	k ɔ ʁ n u
^corpo$	k ɔ ʁ p u
^correr$	k o ʁ e ʁ
^correto$	k o ʁ ɛ t u
^cortar$	k o ʁ t a ʁ
^coruja$	k o ɾ u ʒ ɐ
^corvo$	k ɔ ʁ v u
^costa$	k ɔ ʃ t ɐ
^costas$	k ɔ ʃ t a ʃ
^costela$	k o ʃ t ɛ l ɐ
^costume$	k o ʃ t u m i
^costurar$	k o ʃ t u ɾ a ʁ
^cotovelo$	k o t o v ɛ l u
^couro$	k o ɾ u
^coxa$	k ɔ ʃ ɐ
^coxear$	k o ʃ i a ʁ
^coxo$	k ɔ ʃ u
^cozer_no_forno$	k o z e ʁ + n u + f ɔ ʁ n u
^cozido$	k o z i d u
^cozinha$	k o z i ɲ ɐ
^cozinhado$	k o z i ɲ a d u
^cozinhar$	k o z i ɲ a ʁ
^crer$	k ɾ e ʁ
^crescer$	k ɾ e ʃ s e ʁ
^criado$	k ɾ i a d u
^criança$	k ɾ i ɐ̃ s ɐ
^cru$	k ɾ u
^cruz$	k ɾ u ʃ
^crânio$	k ɾ ɐ n j u
^cuidar_de$	k ui d a ʁ + dʒ i
^culpa$	k uː p ɐ
^culpado$	k uː p a d u
^cultivar$	k uː tʃ i v a ʁ
^cume$	k u m i
^curar$	k u ɾ a ʁ
^curto$	k u ʁ t u
^curvar$	k u ʁ v a ʁ
^cuspir$	k u ʃ p i ʁ
^cálido$	k a l i d u
^cântaro$	k ɐ̃ t a ɾ u
^cão$	k ɐ̃ũ
^cérebro$	s ɛ ɾ e b ɾ u
^céu$	s ɛu
^cílio$	s i l j u
^círculo$	s i ʁ k u l u
^córrego$	k ɔ ʁ e g u
^danificar$	d ɐ n i f i k a ʁ
^dançar$	d ɐ̃ s a ʁ
^dar$	d a ʁ
^dar_a_volta$	d a ʁ + a + v ɔu t ɐ
^dar_ordem$	d a ʁ + ɔ ʁ d ẽĩ
^dar_um_pontapé$	d a ʁ + ũ + p õ t a p ɛ
