Grapheme	IPA	Note
^llevar$	ɟ ʝ e β a ɾ
^cargar$	k a ɾ ɣ a ɾ
^llevar_en_la_mano$	ɟ ʝ e β a ɾ + e n + l a + m a n o
^llevar_a_la_espalda$	ɟ ʝ e β a ɾ + a + l a + ɛ s p a l d a
^en_el_hombro$	ɛ n + ɛ l + o m b ɾ o
^llevar_sobre_la_cabeza$	ɟ ʝ e β a ɾ + s o β ɾ e + l a + k a β e s a
^llevar_bajo_el_brazo$	ɟ ʝ e β a ɾ + β a x o + ɛ l + β ɾ a s o
^traer$	t ɾ a ɛ ɾ
^enviar$	e m b j a ɾ
^mandar$	m a n d a ɾ
^guiar$	ɡ j a ɾ
^conducir$	k o n d u s i ɾ
^conducir$	k o n d u s i ɾ
^montar$	m o n t a ɾ
^empujar$	e m p u x a ɾ
^carretera$	k a r ɛ t ɛ ɾ a
^camino$	k a m i n o
^senda$	s e n d a
^puente$	p w e n t e
^carro$	k a r o
^carretón$	k a r ɛ t o n
^rueda$	r w e ð a
^eje$	e x e
^yugo$	ɟ ʝ u ɣ o
^buque$	b u k e
^barco$	b a ɾ k o
^bote$	b o t e
^canoa$	k a n o a
^batanga$	b a t a n ɡ a
^balsa$	b a l s a
^remo$	r e m o
^remo_corto$	r e m o + k o ɾ t o
^remar$	r e m a ɾ
^timón$	t i m o n
^mástil$	m a s t i l
^vela$	b e l a
^ancla$	a n k l a
^puerto$	p w ɛ ɾ t o
^desembarcar$	d e s e m b a ɾ k a ɾ
^tener$	t e n ɛ ɾ
^poseer$	p o s e ɛ ɾ
^tener$	t e n ɛ ɾ
^tomar$	t o m a ɾ
^coger$	k o x ɛ ɾ
^agarrar$	a ɣ a r a ɾ
^empuɲar$	e m p u ɲ a ɾ
^coger$	k o x ɛ ɾ
^asir$	a s i ɾ
^tener$	t e n ɛ ɾ
^apoyar$	a p o ʝ a ɾ
^obtener$	o β t e n ɛ ɾ
^conseguir$	k o n s e ɣ i ɾ
^conservar$	k o n s ɛ ɾ β a ɾ
^retener$	r ɛ t e n ɛ ɾ
^guardar$	ɡ w a ɾ ð a ɾ
^cosa$	k o s a
^dar$	d a ɾ
^devolver$	d e β o l β ɛ ɾ
^conservar$	k o n s ɛ ɾ β a ɾ
^proteger$	p ɾ o t e x ɛ ɾ
^salvar$	s a l β a ɾ
^rescatar$	r ɛ s k a t a ɾ
^destruir$	d ɛ s t ɾ w i ɾ
^daɲar$	d a ɲ a ɾ
^herir$	ɛ ɾ i ɾ
^buscar$	b u s k a ɾ
^encontrar$	e n k o n t ɾ a ɾ
^hallar$	a ʝ a ɾ
^perder$	p ɛ ɾ ð ɛ ɾ
^soltar$	s o l t a ɾ
^largar$	l a ɾ ɣ a ɾ
^dinero$	d i n ɛ ɾ o
^moneda$	m o n e ð a
^rico$	r i k o
^pobre$	p o β ɾ e
^mendigo$	m e n d i ɣ o
^avaro$	a β a ɾ o
^mezquino$	m ɛ s k i n o
^prestar$	p ɾ ɛ s t a ɾ
^pedir_prestado$	p e ð i ɾ + p ɾ ɛ s t a ð o
^deber$	d e β ɛ ɾ
^deuda$	d e u ð a
^pagar$	p a ɣ a ɾ
^calcul$	k a l k u l
^cuenta$	k w e n t a
^impuesto$	i m p w ɛ s t o
^tributo$	t ɾ i β u t o
^alquilar$	a l k i l a ɾ
^emplear$	e m p l e a ɾ
^salario$	s a l a ɾ j o
^sueldo$	s w ɛ l d o
^ganar$	ɡ a n a ɾ
^comprar$	k o m p ɾ a ɾ
^vender$	b e n d ɛ ɾ
^trocar$	t ɾ o k a ɾ
^comerciante$	k o m ɛ ɾ s j a n t e
^mercado$	m ɛ ɾ k a ð o
^tienda$	t j e n d a
^almacén$	a l m a s e n
^precio$	p ɾ e s j o
^caro$	k a ɾ o
^barato$	b a ɾ a t o
^repartir$	r e p a ɾ t i ɾ
^distribuir$	d i s t ɾ i β w i ɾ
^pesar$	p e s a ɾ
^después$	d ɛ s p w e s
^atrás$	a t ɾ a s
^detrás$	d ɛ t ɾ a s
^lugar$	l u ɣ a ɾ
^sitio$	s i t j o
^poner$	p o n ɛ ɾ
^sentar$	s e n t a ɾ
^acostarse$	a k o s t a ɾ s e
^echarse$	e tʃ a ɾ s e
^poner_de_pie$	p o n ɛ ɾ + ð e + p j e
^quedar$	k e ð a ɾ
^permanecer$	p ɛ ɾ m a n e s ɛ ɾ
^sobras$	s o β ɾ a s
^al_lado_de$	a l + l a ð o + ð e
^recoger$	r e k o x ɛ ɾ
^reunir$	r e u n i ɾ
^recoger$	r e k o x ɛ ɾ
^amontonar$	a m o n t o n a ɾ
^juntar$	x u n t a ɾ
^unir$	u n i ɾ
^separar$	s e p a ɾ a ɾ
^apartar$	a p a ɾ t a ɾ
^dividir$	d i β i ð i ɾ
^abrir$	a β ɾ i ɾ
^cerrar$	s ɛ r a ɾ
^cubrir$	k u β ɾ i ɾ
^esconder$	ɛ s k o n d ɛ ɾ
^abajo$	a β a x o
^bajo$	b a x o
^debajo$	d e β a x o
^alto$	a l t o
^elevado$	e l e β a ð o
^bajo$	b a x o
^cima$	s i m a
^fondo$	f o n d o
^final$	f i n a l
^extremo$	ɛ k s t ɾ e m o
^puntiagudo$	p u n t j a ɣ u ð o
^borde$	b o ɾ ð e
^orilla$	o ɾ i ʝ a
^margen$	m a ɾ x e n
^lado$	l a ð o
^costado$	k o s t a ð o
^medio$	m e ð j o
^centro$	s e n t ɾ o
^delante$	d e l a n t e
^antes_de$	a n t e s + ð e
^delantero$	d e l a n t ɛ ɾ o
^delante$	d e l a n t e
^derecha$	d ɛ ɾ e tʃ a
^izquierda$	i s k j ɛ ɾ ð a
^cerca$	s ɛ ɾ k a
^próximo$	p ɾ o k s i m o
^lejos$	l e x o s
^este$	ɛ s t e
^levante$	l e β a n t e
^oeste$	o ɛ s t e
^poniente$	p o n j e n t e
^norte$	n o ɾ t e
^sur$	s u ɾ
^adentro$	a ð e n t ɾ o
^dentro$	d e n t ɾ o
^crecer$	k ɾ e s ɛ ɾ
^medir$	m e ð i ɾ
^braza$	b ɾ a s a
^grande$	ɡ ɾ a n d e
^chico$	tʃ i k o
^pequeɲo$	p e k e ɲ o
^largo$	l a ɾ ɣ o
^alto$	a l t o
^corto$	k o ɾ t o
^afuera$	a f w ɛ ɾ a
^fuera$	f w ɛ ɾ a
^exterior$	ɛ k s t ɛ ɾ j o ɾ
^ancho$	a n tʃ o
^amplio$	a m p l j o
^angosto$	a n ɡ o s t o
^estrecho$	ɛ s t ɾ e tʃ o
^grueso$	ɡ ɾ w e s o
^delgado$	d ɛ l ɣ a ð o
^profundo$	p ɾ o f u n d o
^hondo$	o n d o
^bajo$	b a x o
^poco_profundo$	p o k o + p ɾ o f u n d o
^debajo$	d e β a x o
^plano$	p l a n o
^derecho$	d ɛ ɾ e tʃ o
^recto$	r e k t o
^torcido$	t o ɾ s i ð o
^gancho$	ɡ a n tʃ o
^esquina$	ɛ s k i n a
^rincón$	r i n k o n
^cruz$	k ɾ u s
^cuadrado$	k w a ð ɾ a ð o
^arriba$	a r i β a
^encima$	e n s i m a
