pato	ˈpato
ánade	
nido	ˈniðo
pájaro	
ave	ˈaβe
gaviota	gaˈβjota
garza	ˈgarθa
águila	
gavilán	
halcón	
buitre	ˈbwitre
murciélago	
loro	ˈloro
papagayo	papaˈɣaɟo
cuervo	ˈkwerβo
paloma	paˈloma
lechuza	leˈʧuθa
buho	
perro	ˈperro
conejo	koˈnexo
gato	ˈgato
zarigüeya	
ratón	
rata	ˈrrata
pez	peθ
pescado	pesˈkaðo
aleta	aˈleta
escama	esˈkama
agalla	aˈɣaʎa
valva	ˈbalβa
tiburón	
delfín	
ballena	baˈʎena
raya	ˈrraɟa
pastinaca	pastiˈnaka
anguila de agua dulce	
lobo	ˈloβo
león	
oso	ˈoso
zorro	ˈθorro
venado	beˈnaðo
ciervo	ˈθjerβo, -a
a	a
mono	ˈmono
elefante	eleˈfan̩te, -a
camello	kaˈmeʎo, -a
insecto	inˈsekto
piojo	ˈpjoxo
liendre	ˈljen̩dre
pulga	ˈpulɣa
ciempiés	
alacrán	
escorpión	
cucaracha	kukaˈraʧa
hormiga	orˈmiɣa
araɲa	
telaraɲa	
abeja	aβeˈxa
cera de abeja	
colmena	kolˈmena
avispa	aˈβispa
mosca	ˈmoska
jején	
mosquito	mosˈkito
lombriz	lomˈbriθ
gusano	guˈsano
culebra	kuˈleβra
serpiente	serˈpjen̩te
luciérnaga	
mariposa	mariˈposa
saltamontes	sal̩taˈmon̩tes
caracol	karaˈkol
rana	ˈrrana
lagartija	laɣarˈtixa
cocodrilo	kokoˈðrilo
caimán	
tortuga	torˈtuɣa
cuerpo	ˈkwerpo
piel	pjel
cutis	ˈkutis
pellejo	peˈʎexo
carne	ˈkarne
cabello	kaˈβeʎo
pelo	ˈpelo
barba	ˈbarβa
vello	ˈbeʎo
pelo púbico	
caspa	ˈkaspa
sangre	ˈsaŋgre
vena	ˈbena
arteria	arˈterja
hueso	ˈweso
costilla	kosˈtiʎa
cuerno	ˈkwerno
cola	ˈkola
espalda	esˈpal̩da
espinazo	espiˈnaθo
espina dorsal	
cabeza	kaˈβeθa
sien	sjen
cráneo	
calavera	kalaˈβera
cerebro	θeˈreβro
sesos	
cara	ˈkara
frente	ˈfren̩te
mandíbula	
mejilla	meˈxiʎa
mentón	
barbilla	barˈβiʎa
ojo	ˈoxo
ceja	ˈθexa
párpado	
pestaɲa	
parpadear	parpaðeˈar
pestaɲear	
oreja	oˈrexa
lóbulo	
cerumen	θeˈrumen
nariz	naˈriθ
ventana de la nariz	
moco	ˈmoko
boca	ˈboka
pico	ˈpiko
labio	ˈlaβjo
lengua	ˈleŋgwa
diente	ˈdjen̩te
encías	
molar	moˈlar
muela	ˈmwela
cuello	ˈkweʎo
nuca	ˈnuka
garganta	garˈɣan̩ta
